B,B_exp,M,R,nRun,udl,cap_r,nam,nam_set,hog,sag
15647206270536.094,15608197316309.943,46135799.609455466,0.002493029972999384,1,3000,0.12744696024711455,C1_2_3000,C1_2,s2,s12
15649268001521.434,15611289956482.025,44753389.452534914,0.00242682565316895,1,3000,0.12362814765893623,C1_2_3000,C1_2,s2,s12
15651308294007.549,15614350363532.996,43385387.50075102,0.0023613317034143974,1,3000,0.11984913674240613,C1_2_3000,C1_2,s2,s12
15653327036581.557,15617378537473.355,42031793.749409914,0.0022965404750178763,1,3000,0.11610992748455777,C1_2_3000,C1_2,s2,s12
15655324397457.633,15620374535093.398,40692582.81325102,0.0022324585219013478,1,3000,0.11241044976036194,C1_2_3000,C1_2,s2,s12
15657300230270.637,15623338277758.795,39367789.84181881,0.00216908100453885,1,3000,0.10875080066800775,C1_2_3000,C1_2,s2,s12
15659254563407.717,15626269830989.65,38057385.54762602,0.0021064050197603006,1,3000,0.1051308993028343,C1_2_3000,C1_2,s2,s12
15661187519224.271,15629169103046.418,36761410.93825102,0.00204444370125513,1,3000,0.1015508589454448,C1_2_3000,C1_2,s2,s12
15663098857398.908,15632036251221.754,35479795.70387602,0.0019831711757651964,1,3000,0.09801048536982325,C1_2_3000,C1_2,s2,s12
15664988833541.945,15634871188127.514,34212578.90700102,0.0019226088019892872,1,3000,0.09450988648342823,C1_2_3000,C1_2,s2,s12
15666857270696.393,15637673802349.818,32959810.349631313,0.001862751912673614,1,3000,0.09104919986085998,C1_2_3000,C1_2,s2,s12
15668704208178.914,15640444371334.018,31721366.01369381,0.001803584806339322,1,3000,0.08762808291075638,C1_2_3000,C1_2,s2,s12
15670529822946.502,15643182536782.729,30497406.058120728,0.0017451411326073068,1,3000,0.08424697806110698,C1_2_3000,C1_2,s2,s12
15672333787317.617,15645888665762.15,29287766.40431881,0.0016873761058398811,1,3000,0.08090543205612931,C1_2_3000,C1_2,s2,s12
15674116323015.674,15648562358435.53,28092625.77931881,0.0016303288844820817,1,3000,0.07760393861690279,C1_2_3000,C1_2,s2,s12
15675877341560.176,15651204091068.242,26911771.292495728,0.0015739629721724996,1,3000,0.07434190964777826,C1_2_3000,C1_2,s2,s12
15677617000273.783,15653813492296.686,25745368.94338131,0.0015183116143660078,1,3000,0.07111980371099809,C1_2_3000,C1_2,s2,s12
15679335192074.018,15656390612321.04,24593396.292495728,0.0014633643245650565,1,3000,0.06793755881904898,C1_2_3000,C1_2,s2,s12
15681031707261.34,15658935649997.33,23455764.45119381,0.0014090946103870099,1,3000,0.06479492942318732,C1_2_3000,C1_2,s2,s12
